Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotTabPage.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotTextBox.cs,35
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotToolDropDownButton.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotToolStripButton.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotToolStripLabel.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\GreenshotToolStripMenuItem.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\HotkeyControl.cs,686
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\IGreenshotConfigBindable.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\IGreenshotLanguageBindable.cs,34
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\OAuthLoginForm.cs,121
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\OAuthLoginForm.Designer.cs,92
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\PleaseWaitForm.cs,143
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\PleaseWaitForm.Designer.cs,99
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\QualityDialog.cs,72
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\QualityDialog.Designer.cs,147
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\SaveImageFileDialog.cs,237
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\ThumbnailForm.cs,160
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AbstractDestination.cs,419
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AbstractProcessor.cs,68
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AccessibleHelper.cs,237
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\AnimationHelpers.cs,612
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\BinaryStructHelper.cs,108
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Cache.cs,259
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Capture.cs,302
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CaptureDetails.cs,118
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CaptureHandler.cs,44
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ClipboardHelper.cs,1301
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CoreConfiguration.cs,662
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CredentialsHelper.cs,525
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\DestinationHelper.cs,101
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\DisplayKeyAttribute.cs,40
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EffectConverter.cs,235
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EnvironmentInfo.cs,575
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EventDelay.cs,47
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ExplorerHelper.cs,55
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FastBitmap.cs,1050
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FileDescriptor.cs,76
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FileDescriptorReader.cs,132
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FilenameHelper.cs,706
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Fraction.cs,156
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\GreenshotResources.cs,49
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\IEHelper.cs,203
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\IImage.cs,68
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,1615
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageIO.cs,655
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\InterfaceUtils.cs,73
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\JSONHelper.cs,436
